409,10,1,3,5,0,10,5,1,1,0,0,5,13,4,0,22,1,0,3,1,0,2,0,0,4
10,431,0,3,6,0,6,27,0,0,0,0,0,1,1,1,2,5,1,2,0,0,0,2,0,2
3,0,439,0,30,1,8,0,1,0,0,5,0,1,6,0,1,2,0,0,2,0,0,0,0,1
5,6,0,452,1,0,0,2,1,11,0,2,0,5,12,1,1,0,0,0,0,0,0,0,0,1
5,3,23,1,440,13,3,0,0,0,0,1,0,0,2,1,2,0,1,2,1,0,1,0,0,1
1,1,2,1,8,442,1,0,3,1,1,1,0,0,0,10,1,4,5,16,0,0,0,1,0,1
13,10,16,0,8,3,343,1,1,2,1,0,0,0,3,1,86,1,8,0,0,0,0,0,3,0
4,24,0,4,1,0,1,436,2,0,4,10,3,5,0,0,0,0,0,1,1,0,1,0,3,0
0,0,0,2,3,4,1,0,344,11,0,128,0,0,0,1,0,0,0,2,1,0,0,0,0,3
1,1,0,16,1,3,7,0,9,439,1,3,0,0,0,0,1,1,5,7,2,2,0,0,1,0
1,6,1,0,0,3,1,7,0,2,461,2,2,2,0,0,0,3,0,2,2,1,0,3,1,0
0,1,6,4,1,1,0,3,121,2,0,358,0,0,0,0,0,2,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,4,0,0,1,0,470,13,0,0,0,0,0,0,1,1,3,0,1,0
10,1,0,6,2,0,0,8,1,0,0,0,13,443,1,0,2,3,0,0,4,1,2,2,1,0
3,2,2,11,1,0,2,0,1,0,0,0,0,2,469,0,6,0,0,0,1,0,0,0,0,0
2,1,0,5,5,8,0,0,2,0,0,0,0,0,0,461,4,7,0,1,0,0,1,1,1,1
39,7,0,0,0,4,76,0,3,0,0,0,0,1,6,4,357,0,0,0,2,0,0,0,0,1
9,3,2,0,6,9,0,0,1,0,7,0,2,7,0,4,5,435,0,3,0,2,0,1,2,2
2,2,2,0,0,5,9,0,0,6,0,1,0,1,0,0,1,0,471,0,0,0,0,0,0,0
0,5,0,4,1,6,2,3,1,2,1,3,0,0,0,1,3,4,0,460,0,0,0,2,2,0
2,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,458,16,13,0,1,1
0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,5,1,1,21,446,2,1,16,1
2,0,0,2,1,0,1,4,0,1,0,0,7,10,0,0,2,0,2,1,12,3,450,1,1,0
3,0,0,0,1,0,1,0,1,2,8,0,0,3,0,0,1,1,0,2,0,0,0,465,7,5
0,0,0,0,0,0,8,0,2,1,2,2,1,1,0,0,4,3,0,2,3,21,0,5,443,2
4,1,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,4,1,481
